schoolID,schoolName,url
OSU,Oregon State Universtiy,www.oregonstate.edu
MIT,MIT,www.MIT.com
ChmeketaCC,Chmeketa Community,http://www.chemeketa.edu/
ClackmasCC,Clackamas Community College,https://www.clackamas.edu/
ClastopCC,Clatsop Community Coillege,https://www.clatsopcc.edu/
LaneCC,lane community college,https://www.lanecc.edu/
MTHoodCC,Mt. Hood Community College,https://www.mhcc.edu/
PortlandCC,Portland Community College,https://www.pcc.edu/
RogueCC,Rogue Community College,http://www.roguecc.edu/
TillamookbayCC,Tillamook Bay Community College,http://tillamookbaycc.edu/
UWS,University of Western States,https://www.uws.edu/
OHSSD,Oregon Health Sciences School of Dentistry,http://www.ohsu.edu/xd/education/schools/school-of-dentistry/
PU,Pacific University,https://www.pacificu.edu/
FGU,Forest Grove University,https://www.pacificu.edu/about-us/campuses-and-locations/forest-grove-campus
